Index,Name,User_Id,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
28,Gran Turismo 3: A-Spec,10240,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95,54,8.4,314,E
29,Pokemon X/Pokemon Y,10269,3DS,2013,Role-Playing,Nintendo,5.39,4.37,4.36,0.8,14.92,95,54,8.4,314,E
30,Call of Duty: Black Ops 3,10261,PS4,2015,Shooter,Activision,6.08,5.95,0.36,2.41,14.8,95,54,8.4,314,E
31,Call of Duty: Modern Warfare 3,10283,X360,2011,Shooter,Activision,9.06,4.26,0.13,1.33,14.77,88,81,3.4,8715,M
32,Call of Duty: Black Ops,10211,X360,2010,Shooter,Activision,9.73,3.7,0.11,1.13,14.67,87,89,6.3,1456,M
33,Pok\xc3\xa9mon Yellow: Special Pikachu Edition,10257,G,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,87,89,6.3,1456,M
34,Call of Duty: Black Ops II,10232,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83,21,5.3,921,M
35,Call of Duty: Black Ops II,10259,X360,2012,Shooter,Activision,8.25,4.26,0.07,1.12,13.69,83,73,4.8,2261,M
36,Call of Duty: Modern Warfare 2,10297,X360,2009,Shooter,Activision,8.52,3.6,0.08,1.28,13.48,94,100,6.3,2702,M
37,Grand Theft Auto V,10259,PS4,2014,Action,Take-Two Interactive,4.12,6.77,0.39,2.08,13.36,97,66,8.3,2955,M
38,Call of Duty: Modern Warfare 3,10262,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88,39,3.2,5237,M
39,Grand Theft Auto III,10289,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97,56,8.5,667,M
40,Mario Kart 7,10270,3DS,2011,Racing,Nintendo,5.2,4.19,2.7,0.94,13.04,85,73,8.2,633,E
41,Super Smash Bros. Brawl,10270,Wii,2008,Fighting,Nintendo,6.64,2.56,2.66,1.01,12.87,93,81,8.9,1667,T
42,Call of Duty: Black Ops,10270,PS3,2010,Shooter,Activision,6,4.37,0.48,1.8,12.64,88,58,6.4,1095,M
43,Animal Crossing: Wild World,10202,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86,57,8.6,243,E
44,Halo 3,10207,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94,86,7.8,4109,M
45,Pokemon Omega Ruby/Pokemon Alpha Sapphire,10272,3DS,2014,Role-Playing,Nintendo,4.45,3.64,3.1,0.76,11.95,94,86,7.8,4109,M
46,Super Mario 64,10267,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,94,86,7.8,4109,M
47,Pokemon HeartGold/Pokemon SoulSilver,10291,DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,94,86,7.8,4109,M
48,Gran Turismo 4,10261,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89,74,8.5,273,E
49,Pokemon Sun/Moon,10246,3DS,2016,Role-Playing,Nintendo,5.01,2.74,2.88,0.77,11.4,89,74,8.5,273,E
50,Super Mario Galaxy,10267,Wii,2007,Platform,Nintendo,6.06,3.36,1.2,0.74,11.36,97,73,8.9,2159,E
51,Super Mario Land 2: 6 Golden Coins,10224,G,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,97,73,8.9,2159,E
52,Grand Theft Auto IV,10247,X360,2008,Action,Take-Two Interactive,6.77,3.07,0.14,1.03,11.01,98,86,7.9,2958,M
53,Gran Turismo,10261,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96,16,8.8,140,E
54,Super Mario 3D Land,10224,3DS,2011,Platform,Nintendo,4.89,3.05,2.14,0.78,10.87,90,82,8.4,925,E
55,Gran Turismo 5,10275,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84,82,7.5,1115,E
56,Call of Duty: Modern Warfare 2,10287,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94,67,6.3,2077,M
57,Super Mario All-Stars,10226,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,94,67,6.3,2077,M
58,Grand Theft Auto IV,10257,PS3,2008,Action,Take-Two Interactive,4.77,3.7,0.44,1.61,10.51,98,64,7.5,2849,M
59,Pokemon FireRed/Pokemon LeafGreen,10290,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,98,64,7.5,2849,M
60,Super Mario 64,10208,DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,10.31,98,64,7.5,2849,M
61,Call of Duty: Ghosts,10234,X360,2013,Shooter,Activision,6.75,2.58,0.04,0.91,10.28,73,29,2.6,2118,M
62,Just Dance 3,10267,Wii,2011,Misc,Ubisoft,5.95,3.11,0,1.06,10.12,74,15,7.8,16,E10+
63,New Super Mario Bros. 2,10223,3DS,2012,Platform,Nintendo,3.66,3.27,2.49,0.63,10.05,78,70,7.2,425,E
64,Halo: Reach,10224,X360,2010,Shooter,Microsoft Game Studios,7.06,1.97,0.08,0.79,9.9,91,99,7.9,2053,M
65,Mario Kart 64,10211,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,91,99,7.9,2053,M
66,Halo 4,10230,X360,2012,Shooter,Microsoft Game Studios,6.68,2.3,0.04,0.74,9.77,87,87,7,3273,M
67,Final Fantasy VII,10209,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92,20,9.2,1297,T
68,Gran Turismo 2,10295,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93,23,9,135,T
69,Just Dance 2,10243,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74,24,7.3,24,E10+
70,Call of Duty: Ghosts,10265,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.26,9.37,71,10,2.6,1049,M
71,Call of Duty 4: Modern Warfare,10227,X360,2007,Shooter,Activision,5.95,2.37,0.13,0.9,9.35,94,70,8.4,1322,M
72,Animal Crossing: New Leaf,10256,3DS,2012,Simulation,Nintendo,2.08,2.43,4.43,0.4,9.34,88,70,8.7,628,E
73,Donkey Kong Country,10295,SNES,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3,88,70,8.7,628,E
74,Minecraft,10245,X360,2013,Misc,Microsoft Game Studios,5.76,2.7,0.02,0.82,9.3,88,70,8.7,628,E
75,FIFA 17,10217,PS4,2016,Sports,Electronic Arts,0.9,6.75,0.09,1.33,9.07,85,41,4.9,442,E
76,Mario Party DS,10204,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72,27,7.8,85,E
77,The Elder Scrolls V: Skyrim,10232,X360,2011,Role-Playing,Bethesda Softworks,5.08,2.8,0.1,0.86,8.84,96,89,8.4,3602,M
78,Super Mario Kart,10237,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,96,89,8.4,3602,M
79,FIFA 16,10293,PS4,2015,Sports,Electronic Arts,1.13,6.13,0.06,1.28,8.6,82,42,4.3,902,E
80,Halo 2,10217,X,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95,91,8.2,1224,M
81,Wii Party,10276,Wii,2010,Misc,Nintendo,1.75,3.48,2.49,0.67,8.39,68,42,7.5,55,E
82,Mario Party 8,10265,Wii,2007,Misc,Nintendo,3.74,2.25,1.58,0.71,8.28,62,41,6.3,191,E
83,Star Wars Battlefront (2015),10277,PS4,2015,Shooter,Electronic Arts,3.11,3.56,0.22,1.32,8.21,62,41,6.3,191,E
84,FIFA Soccer 13,10286,PS3,2012,Action,Electronic Arts,1.07,5.01,0.13,1.97,8.17,88,37,6.5,350,E
85,GoldenEye 007,10245,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,88,37,6.5,350,E
86,Pokemon Black 2/Pokemon White 2,10245,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.15,0.41,8.08,88,37,6.5,350,E
87,Final Fantasy X,10224,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92,53,8.7,1077,T
88,The Sims 3,10252,PC,2009,Simulation,Electronic Arts,0.99,6.42,0,0.6,8.01,86,75,7.6,894,T
89,Mario & Sonic at the Olympic Games,10296,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,86,75,7.6,894,T
90,Final Fantasy VIII,10256,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90,24,8.6,658,T
91,Pac-Man,10208,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81,90,24,8.6,658,T
92,Pok\xc3\xa9mon Platinum Version,10209,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83,46,8.5,204,E
93,Grand Theft Auto: Liberty City Stories,10295,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88,65,7.6,453,M
94,Call of Duty: Advanced Warfare,10289,PS4,2014,Shooter,Activision,2.83,3.48,0.14,1.24,7.68,83,39,5.7,1446,M
95,Super Smash Bros. for Wii U and 3DS,10214,3DS,2014,Fighting,Nintendo,3.3,1.4,2.44,0.48,7.62,83,39,5.7,1446,M
96,The Legend of Zelda: Ocarina of Time,10279,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,83,39,5.7,1446,M
97,Crash Bandicoot 2: Cortex Strikes Back,10235,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,83,39,5.7,1446,M
98,Super Mario Galaxy 2,10279,Wii,2010,Platform,Nintendo,3.58,2.36,0.98,0.62,7.54,97,87,9.1,1859,E
99,Super Mario Bros. 2,10216,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,97,87,9.1,1859,E
100,Call of Duty: Black Ops 3,10249,XOne,2015,Shooter,Activision,4.62,2.12,0.02,0.69,7.44,97,87,9.1,1859,E
101,Call of Duty: World at War,10280,X360,2008,Shooter,Activision,4.83,1.9,0,0.7,7.42,84,84,7.6,583,M
102,Fallout 4,10242,PS4,2015,Role-Playing,Bethesda Softworks,2.58,3.42,0.24,1.17,7.41,87,58,6.5,4258,M
103,Battlefield 3,10263,X360,2011,Shooter,Electronic Arts,4.47,2.11,0.06,0.69,7.33,84,57,7.4,2144,M
104,Uncharted 4: A Thiefs End,10277,PS4,2016,Shooter,Sony Computer Entertainment,2.92,2.98,0.19,1.18,7.28,93,113,7.9,7238,T
105,Mario Kart 8,10219,WiiU,2014,Racing,Nintendo,3.17,2.25,1.29,0.52,7.23,88,82,9.1,1607,E
106,Need for Speed Underground,10273,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85,33,8.6,172,E
107,Just Dance,10294,Wii,2009,Misc,Ubisoft,3.48,2.99,0,0.73,7.2,49,21,8,110,E10+
108,Battlefield 3,10273,PS3,2011,Shooter,Electronic Arts,2.86,2.89,0.35,1.08,7.18,85,38,7.5,1762,M
109,Tekken 3,10249,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96,15,9.1,371,T
110,The Legend of Zelda: Twilight Princess,10229,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.16,95,73,9,1664,T
111,Crash Bandicoot 3: Warped,10290,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91,12,8.9,439,E
112,Super Smash Bros. Melee,10238,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92,38,9.1,573,T
113,Mario Kart: Double Dash!!,10215,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,92,38,9.1,573,T
114,Need for Speed Underground 2,10288,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82,39,8.6,132,E
115,Medal of Honor: Frontline,10273,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88,29,8.5,137,T
116,Crash Bandicoot,10231,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,88,29,8.5,137,T
117,Just Dance 4,10243,Wii,2012,Misc,Ubisoft,4.05,2.16,0,0.55,6.76,74,10,7.2,29,E10+
118,Gears of War 2,10270,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93,90,7.7,2746,M
119,Uncharted 3: Drakes Deception,10208,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92,97,8.3,3732,T
120,Zumba Fitness,10278,Wii,2010,Sports,505 Games,3.46,2.6,0,0.66,6.72,92,97,8.3,3732,E
121,Call of Duty 4: Modern Warfare,10264,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.69,94,44,8.4,994,M
122,Uncharted 2: Among Thieves,10228,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.67,96,105,8.8,5226,T
123,FIFA 12,10217,PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.4,6.65,96,105,8.8,5226,T
124,Big Brain Academy,10284,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.63,74,45,7.4,27,E
125,The Legend of Zelda,10210,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,74,45,7.4,27,E
126,Red Dead Redemption,10209,PS3,2010,Action,Take-Two Interactive,2.8,2.53,0.17,1,6.51,95,73,8.9,2475,M
127,FIFA 14,10204,PS3,2013,Sports,Electronic Arts,0.79,4.24,0.07,1.38,6.48,86,37,4.3,576,E
128,Donkey Kong Country Returns,10211,Wii,2010,Platform,Nintendo,3.18,1.8,1.03,0.46,6.47,87,77,8.6,368,E
129,Assassins Creed III,10214,PS3,2012,Action,Ubisoft,2.65,2.52,0.16,1.12,6.46,85,41,6.9,1314,M
130,Halo: Combat Evolved,10209,X,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97,68,8.6,1292,M
131,The Elder Scrolls V: Skyrim,10260,PS3,2011,Role-Playing,Bethesda Softworks,2.56,2.61,0.25,1,6.42,92,16,6.4,2530,M
132,Pok\xc3\xa9mon Emerald Version,10287,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76,28,9,223,E
133,Kingdom Hearts,10278,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85,46,8.8,610,E
134,Pok\xc3\xa9mon Crystal Version,10261,G,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,85,46,8.8,610,E
135,Red Dead Redemption,10210,X360,2010,Action,Take-Two Interactive,3.71,1.97,0.09,0.58,6.35,95,96,9,2327,M
136,Halo 3: ODST,10262,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83,94,7.1,1166,M
137,Super Mario Sunshine,10231,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92,61,8.6,444,E
138,World of Warcraft,10212,PC,2004,Role-Playing,Activision,0.09,6.22,0,0,6.31,93,57,7.3,2199,T
139,Street Fighter II: The World Warrior,10259,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,93,57,7.3,2199,T
140,Driver,10212,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87,22,8,81,T
141,Gears of War 3,10288,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91,96,7.8,1510,M
142,Kinect Sports,10294,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73,51,7.4,95,E10+
143,Gears of War,10236,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94,88,8.3,2301,M
144,FIFA 15,10296,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.91,6.08,82,47,5.7,993,E
145,Metal Gear Solid 2: Sons of Liberty,10273,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96,42,8.7,1035,M
146,Sonic the Hedgehog 2,10215,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,96,42,8.7,1035,M
147,Metal Gear Solid,10218,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94,20,9.4,934,M
148,Metal Gear Solid 4: Guns of the Patriots,10294,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94,82,8.7,3575,M
149,Final Fantasy XII,10227,PS2,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95,92,64,7.7,982,T
150,The Last of Us,10238,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.19,0.29,0.99,5.89,95,98,9.1,8039,M
151,LittleBigPlanet,10206,PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95,85,6.8,5319,E
152,Resident Evil 2,10283,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89,13,9.2,369,M
153,Call of Duty: Infinite Warfare,10216,PS4,2016,Shooter,Activision,2.15,2.57,0.16,0.93,5.8,77,86,3.5,1208,M
154,Dragon Quest IX: Sentinels of the Starry Skies,10280,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87,65,8.8,202,E10+
155,Tekken 2,10259,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89,8,8.9,102,T
156,Grand Theft Auto V,10222,XOne,2014,Action,Take-Two Interactive,2.93,2.32,0,0.49,5.74,97,14,7.9,774,M
157,Destiny,10285,PS4,2014,Shooter,Activision,2.5,2.07,0.16,0.93,5.66,76,95,6.1,5389,T
158,LEGO Star Wars: The Complete Saga,10296,Wii,2007,Action,LucasArts,3.57,1.56,0,0.51,5.64,80,17,8.9,62,E10+
159,Cooking Mama,10250,DS,2006,Simulation,505 Games,3.08,1.91,0.07,0.57,5.64,67,35,7.2,21,E
160,Tetris,10246,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,67,35,7.2,21,E
161,Super Smash Bros.,10245,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,67,35,7.2,21,E
162,Assassins Creed II,10235,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91,70,8.6,1212,M
163,Assassins Creed,10235,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81,77,7.7,1084,M
164,Forza Motorsport 3,10300,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92,90,8,516,E
165,Super Mario Advance,10202,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84,19,7.8,42,E
166,Batman: Arkham City,10239,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96,42,8.6,2174,T
167,Monster Hunter Freedom Unite,10254,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81,48,8.7,124,T
168,Mario Kart: Super Circuit,10219,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93,24,8.3,108,E
169,Super Mario World,10216,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,93,24,8.3,108,E
170,Pokemon Stadium,10257,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,93,24,8.3,108,E
171,Crash Bandicoot: The Wrath of Cortex,10283,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66,22,7.1,161,E
172,Minecraft,10256,PS3,2014,Misc,Sony Computer Entertainment,2.1,2.42,0,0.89,5.41,66,22,7.1,161,E
173,Call of Duty: World at War,10288,PS3,2008,Shooter,Activision,2.73,1.83,0,0.83,5.4,85,45,7.6,410,M
174,Tomodachi Life,10295,3DS,2013,Simulation,Nintendo,0.99,2.23,1.91,0.25,5.39,71,52,7.6,156,E
175,Dr. Mario,10265,G,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34,71,52,7.6,156,E
176,Final Fantasy XIII,10253,PS3,2009,Role-Playing,Square Enix,1.75,1.21,1.87,0.51,5.34,83,83,7.2,2506,T
177,Pokemon Pinball,10216,G,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,83,83,7.2,2506,T
178,Final Fantasy IX,10213,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,22,8.9,792,T
179,Battlefield 1,10203,PS4,2016,Shooter,Electronic Arts,1.45,2.81,0.23,0.81,5.3,89,33,8.4,896,M
180,New Super Mario Bros. U,10270,WiiU,2012,Platform,Nintendo,2.3,1.4,1.28,0.32,5.29,84,70,8.1,734,E
181,Assassins Creed III,10267,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84,61,6.8,1204,M
182,Final Fantasy X-2,10262,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85,45,6.6,404,T
183,Call of Duty: Advanced Warfare,10247,XOne,2014,Shooter,Activision,3.24,1.55,0.01,0.48,5.28,81,53,5.4,900,M
184,Donkey Kong 64,10295,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,81,53,5.4,900,M
185,Assassins Creed II,10275,X360,2009,Action,Ubisoft,3.12,1.55,0.08,0.52,5.27,90,82,8.8,1320,M
186,Tomb Raider II,10280,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85,13,8.8,1320,T
187,Madden NFL 2004,10208,PS2,2003,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94,29,8.5,140,E
188,Dragon Quest VIII: Journey of the Cursed King,10221,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89,63,8.8,249,T
189,Super Mario Bros. 3,10210,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,89,63,8.8,249,T
190,Professor Layton and the Curious Village,10262,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85,72,8.6,149,E
191,Super Mario Land 3: Wario Land,10242,G,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,85,72,8.6,149,E
192,FIFA Soccer 13,10202,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.58,5.17,90,48,6.1,404,E
193,Diablo III,10253,PC,2012,Role-Playing,Activision,2.45,2.17,0,0.54,5.17,88,86,4,9643,M
194,Donkey Kong Country 2: Diddys Kong Quest,10214,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,88,86,4,9643,M
195,Medal of Honor: Rising Sun,10286,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68,30,7.6,100,T
196,Kirbys Dream Land,10276,G,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,68,30,7.6,100,T
197,Microsoft Flight Simulator,10224,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12,68,30,7.6,100,T
198,Guitar Hero II,10229,PS2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12,92,69,8.5,113,T
199,Fable III,10298,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80,88,6.5,608,M
200,Mario & Sonic at the Olympic Games,10288,DS,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.09,80,88,6.5,608,M
201,Resident Evil 5,10226,PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84,76,7.5,671,M
202,The Legend of Zelda: Phantom Hourglass,10238,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90,57,8,418,E
203,FIFA Soccer 11,10237,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89,51,8,233,E
